Title,# Views,# Rates,Average Score,Douban Link
妈咪 ,12,11,6.7272727272727275,https://movie.douban.com/subject/25745651/
心理游戏 ,13,11,8.0,https://movie.douban.com/subject/1477916/
少年时代 ,22,18,8.88888888888889,https://movie.douban.com/subject/2209575/
爱的曝光 ,9,8,8.75,https://movie.douban.com/subject/2361266/
热海的搜查官 ,3,3,9.333333333333334,https://movie.douban.com/subject/5153024/
2001太空漫游 ,27,24,9.583333333333334,https://movie.douban.com/subject/1292226/
七武士 ,22,20,9.5,https://movie.douban.com/subject/1295399/
虎与龙 ,3,3,9.333333333333334,https://movie.douban.com/subject/2173112/
未麻的部屋 ,23,21,8.761904761904763,https://movie.douban.com/subject/1395091/
横道世之介,15,14,9.0,https://movie.douban.com/subject/10484041/
地心引力 ,27,23,8.521739130434783,https://movie.douban.com/subject/3793783/
绅士刑警3 ,4,4,9.0,https://movie.douban.com/subject/1440974/
死囚越狱 ,25,22,9.0,https://movie.douban.com/subject/1303562/
步履不停 ,20,18,8.88888888888889,https://movie.douban.com/subject/2222996/
无人知晓 ,19,17,8.941176470588236,https://movie.douban.com/subject/1292337/
听说桐岛要退部 ,13,13,8.615384615384615,https://movie.douban.com/subject/7152895/
无间道2 ,15,13,8.153846153846153,https://movie.douban.com/subject/1307106/
惊魂记 ,27,25,9.28,https://movie.douban.com/subject/1293181/
十二怒汉 ,21,18,9.555555555555555,https://movie.douban.com/subject/1293182/
山水情,9,6,9.0,https://movie.douban.com/subject/1316626/
东邪西毒：终极版 ,18,13,8.153846153846153,https://movie.douban.com/subject/3726072/
东邪西毒 ,25,23,9.565217391304348,https://movie.douban.com/subject/1292328/
罗生门 ,27,25,8.96,https://movie.douban.com/subject/1291879/
银魂 ,6,4,9.0,https://movie.douban.com/subject/2057171/
暴雨将至 ,18,15,8.8,https://movie.douban.com/subject/1303036/
洞 ,19,15,8.933333333333334,https://movie.douban.com/subject/1424334/
此时此刻的我 ,1,1,10.0,https://movie.douban.com/subject/1786054/
社交网络 ,25,24,8.166666666666666,https://movie.douban.com/subject/3205624/
憨豆先生 ,7,6,9.333333333333334,https://movie.douban.com/subject/1302958/
母亲 ,17,16,8.5,https://movie.douban.com/subject/3036460/
攻壳机动队 第二季 ,1,1,10.0,https://movie.douban.com/subject/1460947/
攻壳机动队2：无罪 ,15,14,8.714285714285714,https://movie.douban.com/subject/1291566/
花火 ,17,16,8.875,https://movie.douban.com/subject/1302642/
攻壳机动队 第一季 ,2,2,10.0,https://movie.douban.com/subject/1431615/
新世纪福音战士剧场版：Air,7,6,7.666666666666667,https://movie.douban.com/subject/1308892/
新世纪福音战士 ,9,7,8.285714285714286,https://movie.douban.com/subject/1457573/
攻壳机动队 ,22,18,9.0,https://movie.douban.com/subject/1291936/
李献计历险记,15,13,8.0,https://movie.douban.com/subject/4226741/
岁月的童话 ,13,11,8.181818181818182,https://movie.douban.com/subject/1291588/
空之境界 第五章 矛盾螺旋 ,1,1,10.0,https://movie.douban.com/subject/3187790/
凉宫春日的消失 ,3,3,10.0,https://movie.douban.com/subject/4074292/
杀人回忆 ,25,23,9.217391304347826,https://movie.douban.com/subject/1300299/
萤火虫之墓 ,16,14,7.857142857142857,https://movie.douban.com/subject/1293318/
一一,25,23,9.565217391304348,https://movie.douban.com/subject/1292434/
千与千寻 ,28,25,8.72,https://movie.douban.com/subject/1291561/
灵魂 ,2,2,8.0,https://movie.douban.com/subject/34439639/
双面北野武 ,11,10,7.6,https://movie.douban.com/subject/1442700/
玩具总动员4 ,9,9,7.555555555555555,https://movie.douban.com/subject/6850547/
玩具总动员3 ,20,19,8.0,https://movie.douban.com/subject/1858711/
玩具总动员2 ,16,14,7.428571428571429,https://movie.douban.com/subject/1291574/
玩具总动员 ,21,19,7.578947368421052,https://movie.douban.com/subject/1291575/
蜘蛛巢城 ,18,15,8.533333333333333,https://movie.douban.com/subject/1294827/
我是英国人，但是... ,1,1,8.0,https://movie.douban.com/subject/20424200/
越位 ,10,9,6.444444444444445,https://movie.douban.com/subject/1825608/
女服务员 ,1,1,8.0,https://movie.douban.com/subject/30275464/
木兰花 ,19,18,8.0,https://movie.douban.com/subject/1293564/
燃烧女子的肖像 ,4,4,7.5,https://movie.douban.com/subject/30257175/
痛苦与荣耀 ,6,5,8.0,https://movie.douban.com/subject/30198539/
鹿皮 ,4,4,7.0,https://movie.douban.com/subject/30234197/
寄生虫 ,5,5,7.6,https://movie.douban.com/subject/27010768/
南方少女,3,1,8.0,https://movie.douban.com/subject/33420933/
贞德 ,2,2,7.0,https://movie.douban.com/subject/27663802/
南方车站的聚会,3,3,7.333333333333333,https://movie.douban.com/subject/27668250/
瘦人 ,2,2,9.0,https://movie.douban.com/subject/30481809/
倒影池 ,1,1,8.0,https://movie.douban.com/subject/4824987/
一次频词1：怀旧 ,2,2,8.0,https://movie.douban.com/subject/1477510/
胭脂扣,20,18,7.777777777777778,https://movie.douban.com/subject/1299288/
The Third Memory,1,1,8.0,https://movie.douban.com/subject/10354744/
回忆立陶宛之旅 ,2,2,8.0,https://movie.douban.com/subject/1468648/
Océaniques - Des idées des hommes des oeuvres,1,1,8.0,https://movie.douban.com/subject/33426051/
岸边之旅 ,15,13,8.307692307692308,https://movie.douban.com/subject/25851628/
散步的侵略者 ,10,10,7.4,https://movie.douban.com/subject/26870196/
东京奏鸣曲 ,14,13,7.538461538461538,https://movie.douban.com/subject/2032143/
完美现在时 ,1,1,8.0,https://movie.douban.com/subject/30426962/
又一年 ,2,1,8.0,https://movie.douban.com/subject/26827914/
下一站，天国 ,11,10,8.2,https://movie.douban.com/subject/1294413/
In the Labyrinth,1,1,8.0,https://movie.douban.com/subject/5148849/
Almost There,1,1,8.0,https://movie.douban.com/subject/33399982/
家在兰若寺 ,6,6,7.666666666666667,https://movie.douban.com/subject/27091250/
河上的月光,1,1,8.0,https://movie.douban.com/subject/26811550/
无无眠,5,5,8.4,https://movie.douban.com/subject/26353321/
天桥不见了 ,11,8,8.25,https://movie.douban.com/subject/1307909/
不散,16,15,8.266666666666667,https://movie.douban.com/subject/1304862/
青少年哪吒,14,12,8.5,https://movie.douban.com/subject/1307561/
辉夜大小姐想让我告白：天才们的恋爱头脑战 第一季 ,2,2,9.0,https://movie.douban.com/subject/30241099/
有一天 ,1,1,8.0,https://movie.douban.com/subject/2344555/
Stems,1,1,8.0,https://movie.douban.com/subject/26640478/
阿涅斯的海滩 ,12,10,8.8,https://movie.douban.com/subject/3162138/
利维坦 ,11,7,7.428571428571429,https://movie.douban.com/subject/11500300/
黑暗的日子 ,1,1,8.0,https://movie.douban.com/subject/1444502/
我们 ,13,12,6.0,https://movie.douban.com/subject/27053945/
九三年夏天 ,7,7,7.714285714285714,https://movie.douban.com/subject/26979007/
入黑之时 ,3,3,7.333333333333333,https://movie.douban.com/subject/26835883/
雷和莉兹 ,4,4,8.5,https://movie.douban.com/subject/30271178/
过春天,18,18,7.444444444444445,https://movie.douban.com/subject/27191431/
凶线 ,14,11,7.818181818181818,https://movie.douban.com/subject/1299027/
爱德华大夫 ,13,10,7.6,https://movie.douban.com/subject/1293973/
平步青云 ,7,5,8.4,https://movie.douban.com/subject/1299411/
无医可靠 ,9,8,7.5,https://movie.douban.com/subject/1769364/
女继承者 ,9,8,7.25,https://movie.douban.com/subject/27668245/
期待幸福 ,2,1,8.0,https://movie.douban.com/subject/1417948/
罗塞塔 ,21,19,8.31578947368421,https://movie.douban.com/subject/1300820/
大白鲨 ,26,23,7.565217391304348,https://movie.douban.com/subject/1294941/
Noein - 到另一个你的身边去 ,1,1,8.0,https://movie.douban.com/subject/1892322/
龙头之死 ,6,5,6.8,https://movie.douban.com/subject/1401612/
战火已起 ,3,2,7.0,https://movie.douban.com/subject/1295394/
阿赫迈德王子历险记 ,7,6,8.666666666666666,https://movie.douban.com/subject/1302814/
邪典录音室 ,6,5,7.2,https://movie.douban.com/subject/10571389/
电影史话 ,8,8,9.5,https://movie.douban.com/subject/6793337/
雨中曲 ,25,20,9.3,https://movie.douban.com/subject/1293460/
看不见的敌人 ,2,2,7.0,https://movie.douban.com/subject/3005405/
内陆帝国 ,14,13,9.23076923076923,https://movie.douban.com/subject/1438734/
女友礼拜五 ,13,10,8.8,https://movie.douban.com/subject/1299231/
小偷家族 ,21,18,8.444444444444445,https://movie.douban.com/subject/27622447/
死于明日 ,13,10,7.8,https://movie.douban.com/subject/27157811/
漫游,9,8,6.5,https://movie.douban.com/subject/27205173/
蜘蛛侠：平行宇宙 ,20,19,8.0,https://movie.douban.com/subject/26374197/
摄影机不要停！ ,23,21,7.523809523809524,https://movie.douban.com/subject/30234315/
天注定,24,22,7.181818181818182,https://movie.douban.com/subject/21941283/
三峡好人,22,20,7.9,https://movie.douban.com/subject/1872133/
后窗 ,24,21,8.666666666666666,https://movie.douban.com/subject/1299080/
全金属外壳 ,26,23,8.695652173913043,https://movie.douban.com/subject/1300055/
阴风阵阵 ,19,15,7.6,https://movie.douban.com/subject/1296332/
希斯特斯兄弟 ,8,7,7.142857142857143,https://movie.douban.com/subject/26600786/
夜雾杀机 ,8,5,8.0,https://movie.douban.com/subject/1301548/
最后一部电影 ,2,2,7.0,https://movie.douban.com/subject/1868568/
野梨树 ,14,12,8.333333333333334,https://movie.douban.com/subject/26878883/
幸福的拉扎罗 ,15,15,8.0,https://movie.douban.com/subject/27072795/
